Distance 107890.42 m, after 88 s.
Distance 107562.97 m, after 89 s.
Distance 107236.33 m, after 90 s.
Distance 106910.5 m, after 91 s.
Distance 106585.48 m, after 92 s.
Distance 106261.26 m, after 93 s.
Distance 105937.84 m, after 94 s.
Distance 105615.23 m, after 95 s.
Distance 105293.43 m, after 96 s.
Distance 104972.42 m, after 97 s.
Distance 104652.22 m, after 98 s.
Distance 104332.81 m, after 99 s.
Distance 104014.21 m, after 100 s.
Distance 103696.4 m, after 101 s.
Distance 103379.38 m, after 102 s.
Distance 103063.16 m, after 103 s.
Distance 102747.74 m, after 104 s.
Distance 102433.1 m, after 105 s.
Distance 102119.26 m, after 106 s.
Distance 101806.21 m, after 107 s.
Distance 101493.94 m, after 108 s.
Distance 101182.46 m, after 109 s.
Distance 100871.77 m, after 110 s.
Distance 100561.86 m, after 111 s.
Distance 100252.74 m, after 112 s.
Distance 99944.39 m, after 113 s.
Distance 99636.83 m, after 114 s.
Distance 99330.04 m, after 115 s.
Distance 99024.04 m, after 116 s.
Distance 98718.8 m, after 117 s.
Distance 98414.35 m, after 118 s.
Distance 98110.66 m, after 119 s.
Distance 97807.75 m, after 120 s.
Distance 97505.61 m, after 121 s.
Distance 97204.23 m, after 122 s.
Distance 96903.62 m, after 123 s.
Distance 96603.78 m, after 124 s.
Distance 96304.7 m, after 125 s.
Distance 96006.39 m, after 126 s.
Distance 95708.83 m, after 127 s.
Distance 95412.03 m, after 128 s.
Distance 95115.99 m, after 129 s.
Distance 94820.71 m, after 130 s.
Distance 94526.18 m, after 131 s.
Distance 94232.4 m, after 132 s.
Distance 93939.38 m, after 133 s.
Distance 93647.1 m, after 134 s.
Distance 93355.57 m, after 135 s.
Distance 93064.78 m, after 136 s.
Distance 92774.74 m, after 137 s.
Distance 92485.44 m, after 138 s.
Distance 92196.89 m, after 139 s.
Distance 91909.06 m, after 140 s.
Distance 91621.98 m, after 141 s.
Distance 91335.63 m, after 142 s.
Distance 91050.02 m, after 143 s.
Distance 90765.13 m, after 144 s.
Distance 90480.98 m, after 145 s.
Distance 90197.55 m, after 146 s.
Distance 89914.85 m, after 147 s.
Distance 89632.87 m, after 148 s.
Distance 89351.61 m, after 149 s.
Distance 89071.07 m, after 150 s.
Distance 88791.25 m, after 151 s.
Distance 88512.14 m, after 152 s.
Distance 88233.75 m, after 153 s.
Distance 87956.07 m, after 154 s.
Distance 87679.1 m, after 155 s.
Distance 87402.84 m, after 156 s.
Distance 87127.28 m, after 157 s.
Distance 86852.43 m, after 158 s.
Distance 86578.27 m, after 159 s.
Distance 86304.82 m, after 160 s.
Distance 86032.06 m, after 161 s.
Distance 85760 m, after 162 s.
Distance 85488.63 m, after 163 s.
Distance 85217.96 m, after 164 s.
Distance 84947.96 m, after 165 s.
Distance 84678.66 m, after 166 s.
Distance 84410.04 m, after 167 s.
Distance 84142.1 m, after 168 s.
Distance 83874.84 m, after 169 s.
Distance 83608.26 m, after 170 s.
Distance 83342.35 m, after 171 s.
Distance 83077.12 m, after 172 s.
Distance 82812.56 m, after 173 s.
Distance 82548.66 m, after 174 s.
Distance 82285.43 m, after 175 s.
Distance 82022.86 m, after 176 s.
Distance 81760.95 m, after 177 s.
Distance 81499.71 m, after 178 s.
Distance 81239.11 m, after 179 s.
Distance 80979.18 m, after 180 s.
Distance 80719.89 m, after 181 s.
Distance 80461.25 m, after 182 s.
Distance 80203.26 m, after 183 s.
Distance 79945.91 m, after 184 s.
Distance 79689.2 m, after 185 s.
Distance 79433.14 m, after 186 s.
Distance 79177.7 m, after 187 s.
Distance 78922.91 m, after 188 s.
Distance 78668.74 m, after 189 s.
Distance 78415.2 m, after 190 s.
Distance 78162.29 m, after 191 s.
Distance 77910 m, after 192 s.
Distance 77658.34 m, after 193 s.
Distance 77407.29 m, after 194 s.
Distance 77156.85 m, after 195 s.
Distance 76907.03 m, after 196 s.
Distance 76657.82 m, after 197 s.
Distance 76409.22 m, after 198 s.
Distance 76161.23 m, after 199 s.
Distance 75913.83 m, after 200 s.
Distance 75667.04 m, after 201 s.
